categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Conserves|Casino|Petits pois très fins et jeunes carottes à l'étuvée|a|Légumes en proportion variable- eau - sucre - sel - arôme naturel.|263|0.6|3.7|4.2|3.4|0.57|||||||||||||||||0|||
Conserves|Casino Bio, Casino|Lentilles Vertes|a|Lentilles vertes sèches* trempées- eau - sel - jus de citron concentré*.*|294|0|0|4.4|6.3|0.9|||||||||||||||||0|||
Conserves|Casino Bio, Casino|Maïs croquant bio|a|Maïs doux en grains* - eau - sel.*biologique.|78|1.7|7.4|2.5|2.4|0.3|||||||||||||||||0|||
Conserves|Casino Bio, Casino|Haricots blancs|a|Haricots blancs secs* trempés - eau - sel.*|401|0.5|0|6.8|7.3|0.98|||||||||||||||||0|||
Conserves|Casino Bio, Casino|Haricots verts extra-fins coupés bio|a|Haricots verts coupés* - eau - sel.*biologique|101|0|0.8|2.8|1.6|0.75|||||||||||||||||0|||
Conserves|Cassegrain|Aubergines Cuisinées à la Provençale|b|Dés d'aubergines préfrites 36%, tomates pelées concassées au jus 23%, dés d'aubergines 15%, oignons coupés 12%, purée de tomates mi-réduite 4.8%, double concentré de tomates 2.2%, sucre, huile d'olive vierge extra 1%, basilic 0.9%, sel, ail, jus concentré de citron.           |372|6|6|3.2|1.2|0.65|||||||||||||||||0||E330 - Acide citrique|
Conserves|Cassegrain|Ratatouille Cuisinée à la Provençale à l'Huile d'Olive Vierge Extra|b|Dés d'aubergines préfrites 25%, dés de courgettes 25%, purée de tomates 23%dés d’oignons 13%, dés de poivrons rouges 8%, huile d’olive vierge-extra 2%, sucre, sel, ail 0.3%, jus concentré de  citron, farine de blé, thym 0.1%.|346|5.1|5.7|3.9|1.5|0.58|||||||||||||||||0||E330 - Acide citrique|
Conserves|Cassegrain|Courgettes Cuisinées à la Provençale|a|Courgettes préfrites 52%, tomates pelées concassées au jus 21%, oignons 12%, purée de tomates mi-réduite 3.7%, double concentré de tomates 3%, sucre, huile d'olive vierge extra 1.9%, jus concentré de citron, sel, basilic 0.7%, ail, farine de _blé_, fenouil moulu.|283|3.7|5.9|1|1.8|0.61|||||||||||||||||0|blé|E330 - Acide citrique|
Conserves|Chez Raynal,Raynal et Roquelaure|La Choucroute garnie|b|Choucroute 55 % : chou, sel. Garniture 22.5 % : 4 saucisses pur porc, 2 rondelles de saucisson pur porc, viande de porc traitée en salaison. Jus : eau, saindoux, vin blanc 0.3 %, sel, arômes et arôme de fumée, exhausteur de goût : E621. antioxydant : E301. Graines de coriandre et baies de genièvre.|318|5.8|0.5|2.7|3.7|1.05|||||||||||||||||0|sulfites, gluten|E250 - Nitrite de sodium,E262 - Acétates de sodium,E301 - Ascorbate de sodium,E331 - Citrates de sodium,E450 - Sels métalliques de diphosphates,E451 - Triphosphates,E621 - Glutamate monosodique|
Conserves|Compagnie Générale de Conserve|Haricots verts extra fins|a|Haricots verts, eau, sel. CONDITIONS DE CONSERVATION : Avant ouverture : à conserver à température ambiante et à l'abri de l'humidité et de toute variation de température. Après ouverture : à conserver au réfrigérateur dans un récipient hermétique et approprié et consommer dans les 2 jours. A consommer de préférence avant la date figurant sur l'un des fonds. PRÉPARATION : Rincer et réchauffer dans de l'eau bouillante, égoutter, accomoder selon votre goût. FABRIQUÉ EN FRANCE Service consommateurs Compagnie Générale de Conserve CS 30914 ? 56509 LOCMINE cedex ? FRANCE 2200 S EXTRA-FINS HARICOTS VERTS|109|0.2|0.8|2.8|1.6|0.75|||||||||||||||||0|||
